"","text","score"
"152","#BritneySpears #CD Britney Spears Malaysia CD Opps I Did It Again + Promo Portrait Photo Card Rare… https://t.co/n8AwdJWygJ",0
"153","@WatchTheBreaks @eBay It's not. eBay charges a lot for the trackable package. I usually get my cards from the US wi… https://t.co/ewIsYYnBQN",0
"156","#BradPaisley American Saturday Night by Brad Paisley (#CD, Jun-2010, Sony) BRAND NEW https://t.co/rvFwIUbLMH #Music",0
"157","<U+2714><U+2660> Vintage Women's Mariah by MPW Leather Biker Motorcycle Vest - Size Med... Vintage https://t.co/EiyrGMbDnW https://t.co/0t4Aan0oFH",0
"158","https://t.co/fSwKi78LED Rock on the range 2017 field wristband",0
"160","Check out what I found. Two Antique Ottoman Empire Tughra Mark Islamic SILVER Pin Trays pre-1923 https://t.co/EhDIFheNR9 via @eBay_UK",0
"161","# The North Face Hyvent Rain Jacket Red Size Large https://t.co/7ItghME5XD https://t.co/d9PTZiGLdv",0
"162","Check out Women's Mek Jeans 28x34 Bologna Relax Fit https://t.co/agRWgM0zmD @eBay",0
"164","# Quicksilver Puffy Puffer Bomber Winter/Snow Jacket White Size M/M Medium https://t.co/fObGWog1pN https://t.co/swdnvISlVR",0
"167","Buy It Now - Sega Saturn BOXED Game PANZER DRAGOON SAGA complete Vintage retro Clean discs https://t.co/4c4hBEfLxl https://t.co/v2uMhYmd3D",0
"171","Check out Kitty Paws Shoes Women's Custom 6"" Black Leather Open Toe High Ankle Boots https://t.co/MyW6q07ZdO @eBay",0
"174","New on Ebay UK Game Of Thrones - Series 3 - Complete (DVD, 2014, 5-Disc Set, Box Set) https://t.co/DfSVFEuxry Game… https://t.co/Hp8i4w8M42",0
"175","# New Men's Barbour Ashby Waxed Jacket Original Tartan Size Medium Olive https://t.co/pYRSKrh8qq https://t.co/mIMA3I5g7u",0
"176","[https://t.co/NNxGrej9gX] Bellatrix men size 2XL (men size M) full zip #reve #ebay https://t.co/T2QU7CxvRG",0
"177","<U+2662><U+275E> 1989 Celebrity 26' Cabin Cruiser - New Jersey https://t.co/Pvej7zOJ7U https://t.co/7SCQeehJWM",0
"178","New on Ebay https://t.co/QbEU7RQSR3 Battlefield 1: Early Enlister Deluxe Edition (Sony PlayStation 4, 2016) https://t.co/fUTjwm7Xid",0
"180","# Vtg Women's Black Blazer Jacket Embellished with Charms https://t.co/6lL53IVEwa https://t.co/SLZqglCGv8",0
"181","NEW Beats by Dre Beats Solo 3 Wireless Special Edition Black Headphones  https://t.co/Yfadxm2OdI https://t.co/dLGErsEyQA",0
"182","#NYGiants #BigBlue #GMEN #NYG #Tickets New York Giants Vs Detroit Lions Home Opener Monday Night Football With ... https://t.co/QtBIizK8Cc",0
"183","Pikmin 3 Nintendo Wii U Complete with Game, Case, Insert https://t.co/uswkWsGCcf https://t.co/GsfpIgI7Kj",0
"184","<U+25D5><U+2202> JESSICA LONDON PLUS 26/28 NEW TEAL SCOOP NECK SLEEVELESS TUNIC SWEATER... Check It Out https://t.co/uf0zFFJ1Lq https://t.co/USoTb0TrdN",0
"186","# 1941 Edition ""A CHILD'S BOOK OF PRAYERS"" Illustrations by ""MASHA"" https://t.co/QpV3KirYnB https://t.co/RelmifRa9o",0
"187","Check out Kitty Paws Shoes Women's Custom 6"" Black Leather Open Toe High Ankle Boots https://t.co/JfwC1bHBkN @eBay",0
"191","# Fire on the Mountain Hardcover Book by Bamman &amp; Whitehead 1963 https://t.co/TlFz6ZDzfL https://t.co/oYraqnmL6e",0
"192","<U+266F><U+203B> JESSICA LONDON PLUS 18/20 NEW PURPLE RAYON CONVERTIBLE STRAPLES DRESS/... Check It Out https://t.co/eTdalYcWUu https://t.co/QUyfR0Mk6T",0
"193","Pikmin 3 Nintendo Wii U Complete with Game, Case, Insert https://t.co/dakaunGq4K https://t.co/lI6MVs8AOm",0
"194","# 1901 1st Edition OUT WITH GARIBALDI Illus. Hardcover Book by G..A. Henty Blackie https://t.co/yeV0kHwI2J https://t.co/WL6oRIPwTZ",0
"196","Check out Coach Women's Paxton Shoes Size 6M https://t.co/xGnqGJKd07 @eBay",0
"198","Santa Cruz 5010 / Solo full suspension mountain bike medium XTR/ XX1 27.5/650b https://t.co/4VGZ6hDlUo #mountainbike #cycling",0
"200","# SEBASTIAN &amp; CRAWFORD COUNTIES ARKANSAS Book HISTORY OF PHYSICIANS and MEDICINE https://t.co/lP1pRAq7e9 https://t.co/kTrf9snt7Q",0
"203","<U+2605>EBAY ACCOUNTS (buyer/seller US, CA, DE, IT, UK, GER, RU) https://t.co/6OniGBVMDx",0
"206","Nintendo Switch System Video Game Console Box Protector Brand New  https://t.co/ISyXbmem21 #switch #nintendo… https://t.co/fX2UdN30sd",0
"212","Check out what I found. Antique Henry Griffiths SILVER THIMBLE no. 15 Birmingham 1917 https://t.co/CuBINm8NVH via @eBay_UK",0
"216","'16 / '17 K2 Sapera Boa Size 9 Women's Snowboard Boots - Black *NEW* https://t.co/hotPmNU8lJ #snowboard https://t.co/zUFmQSUmzG",0
"220","1984 GMC C7000 GMC C7000 Emergency Fire Rescue Pump Truck 8.2L V8 Hale Generator PTO bidadoo: $1,026.00 (13 Bids)…… https://t.co/GcnpkvZTB9",0
"221","Handbags - Established Automated eCommerce Website https://t.co/DrWLW9JYcp https://t.co/HeUJUXtDWr",0
"222","#Dodgers #DodgersNation #Tickets 3 Atlanta Braves vs. Los Angeles Dodgers 08/02@112-6 TIX https://t.co/YhS2FFZn1t",0
"223","<U+2764><U+273F> DENIM 24/7 PLUS 22W NEW WHITE SHEER CRISS CROSS SHOULDERS LONG SLEEVE... Act Soon! https://t.co/2XIeERn02l https://t.co/mgzMUnco3w",0
"225","I'm forever told to turn my notifications on. If they were on how am I to concentrate on browsing for 2nd hand garden gnomes on eBay.",0
"226","Check out what I found. Ladies New Pink &amp;amp; Metallic Silver Dress/Skater Dress By Club L Size 12 https://t.co/8Io2HiYt0Z via @eBay_UK",0
"231","#ChopOn #Braves #Tickets 3 Atlanta Braves vs. Los Angeles Dodgers 08/02@112-6 TIX https://t.co/Q4gNPjmBeS",0
"232","Check out what I found. 1822 King George lV SILVER Crown Coin TERTIO edge https://t.co/UxINzPaY4a via @eBay_UK",0
"235","Nike Air Jordan XIX 19 Size 11 BLACK VARSITY RED 307546 061 (NO RESERVE)  https://t.co/Zk6mwf2R65",0
"236","Check out GE Superscope Cassette Tape Recorder C-101 https://t.co/nnKsYR1TOD @eBay",0
"240","Tu carro o parte? 3D Fits 2013-2016 BMW 335i xDrive G3AC24635 Gray Carpet Rear Car Parts For Sale https://t.co/ml2nNLr3dq",0
"242","<U+266E><U+25D5> #Rare Old #CollectibleWhiskyBottle with #1945TaxStamp https://t.co/bGbGRCZ5ZN https://t.co/hu8Bc4kkjQ",0
"244","wishbone earring stud https://t.co/IrUcgYOVqG  https://t.co/of76MuK4CG #gift  #birthday #jewellry #gadget",0
"250","NEW NIKE ZOOM KD IV 4 NERF QS RARE SIZE 8.5 DS OG ALL OBO Holla At Mi https://t.co/5FKykFNM6y",0
"252","Nike SB Jason Voorhees Low samples 1/24 Sz 9 NEW DS OBO Freddy Holla At Mi https://t.co/o4hDFD8HGQ",0
"253","Lebron 9 Lebronald Palmer Sample Sz 8 New DS OBO Holla At Me https://t.co/7UsC87imGZ",0
"255","Nike Air Foamposite Yeezy Pro Platinum Size 14. 616750-003 jordan penny https://t.co/gjjMU6OPsr",0
"258","Nike Air Foamposite Yeezy Pro Platinum Size 13. 616750-003 jordan penny https://t.co/DsGTohBPnH",0
"260","<U+2661><U+273E> $20 #VerifoneVX520 #CreditCardTerminal, Cords, Metal #SwivelStand #Account Required https://t.co/3jPnaWhs7U https://t.co/yCAsEcg4Cm",0
"261","# Antique Book Code of the State of Georgia 1895 https://t.co/46xGU2DD8Q https://t.co/fR329QILz4",0
"263","Nike Air Foamposite Yeezy Pro Platinum Size 12. 616750-003 jordan penny https://t.co/8P5QjNor14",0
"264","2016 Nike Air Jordan 4 IV Retro Dunk From Above Size 14. 308497-425 1 2 3 5 6 https://t.co/Y8WiT2MXpK",0
"266","Check out Brooks 12101821B490 Ravenna 6 Womens Running Shoes Size 8B Us https://t.co/bLsk977DKn @eBay",0
"267","2016 Nike Air Jordan 4 IV Retro Dunk From Above Size 11.5. 308497-425 1 2 3 5 6 https://t.co/htXXPUQsDn",0
"269","Nike Air Foamposite yeezy PRM Size 13. 616750-001 jordan penny 1 2 3 4 5 6 https://t.co/wjRaH4rzxV",0
"270","2016 Nike Air Jordan 4 IV Retro Dunk From Above Size 10.5. 308497-425 1 2 3 5 6 https://t.co/P13Juk7GDh",0
"271","VNDS 2001 NIKE AIR JORDAN 1 I RETRO SIZE: 8.5 https://t.co/PvZNvQ7pwK",0
"273","Men Shoes NIKE AIR MAX 97 SILVER BULLET OG BRAND sales https://t.co/JPi2PnO0H2",0
"275","# *NEW* YOUR NAME - KIMI NO NA WA *ENGLISH SUBTITLES*US SELLER*ANIME DVD* https://t.co/a39SoDQIlW https://t.co/QOZzyFPdLx",0
"276","2013 Nike Air Jordan 11 XI Retro Reverse Concord Tuxedo Size 14. 528895-110. 1 2 https://t.co/sJs0EHzaHS",0
"278","Check out what I found. KESWICK SCHOOL of Industrial Art Hand Beaten Copper Tray Centrepiece https://t.co/1h4sr5rsHt via @eBay_UK",0
"279","2016 Nike Air Jordan 5 V Retro Low Knicks Cavs Size 14. 819171-417 1 2 3 4 6 7 https://t.co/n0IWQxbyzu",0
"281","# Legion, FX series Emmy dvd contains two episodes https://t.co/LjtfGyZ548 https://t.co/DVnCiWviqw",0
"283","Bonnie McKee on Gold Gate Bridge bought a Despicable Me: 3-Movie Collection (Blu-ray/DVD, 2016, 6-Disc Set)Digital…… https://t.co/0aLhrt7fTP",0
"284","# Six (6) Various Kids Movies DVDs https://t.co/PrJJx2djKb https://t.co/ntUXGUJbsC",0
"286","#Atari2600 Black Console 2 controllers and games inc pac-man+space #retrogaming #ebay <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+0097>https://t.co/OFw90V0yOA https://t.co/c4qiJcOoo8",0
"287","# Dexter The Complete Series Season 1-8 DVD https://t.co/JWiWNQKWNV https://t.co/cOmUSsv8Op",0
"288","#Pokemon Border Stick-Ups Self Sticking Wall Border #ebay <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+0097>https://t.co/CBmBYY0nBI https://t.co/UEVGuru71p",0
"289","# Saw DVD Movies 1-6 https://t.co/H0HbkBezen https://t.co/VDk80nHHp3",0
"290","[https://t.co/sDtV6seYex] #Armani Jeans Men's Size S Full two way zipper nav #ebay https://t.co/rFyn3b7BTa",0
"291","RT @karenterry132: Look at this on eBay:

https://t.co/UeAp1x31AE

Vintage Bisque Penny Doll Tuxedo Man Made in Japan 3 1/2"" Tall",0
"293","# lot of 18 kids movies DVD format https://t.co/nqfUEgs6or https://t.co/HUWOtvlGI7",0
"295","#F1 #Formula1 #FernandoAlonso SIGNED 2016 LATEST MCLAREN #Honda F1 PERSONAL CAP RARE https://t.co/madRVsaWLV #Alonso https://t.co/WcBkjGEyhQ",0
